iter	Logloss
0	0.6654595132
1	0.6404541616
2	0.618754737
3	0.5989522807
4	0.5814387665
5	0.5660662651
6	0.5525817002
7	0.540142295
8	0.5292217482
9	0.5196110675
10	0.5112049189
11	0.5033668661
12	0.4962423952
13	0.4898898959
14	0.4842097443
15	0.4789920255
16	0.474748963
17	0.4705609683
18	0.4667500374
19	0.4632460843
20	0.4600423691
21	0.4571775969
22	0.4547119806
23	0.4524904388
24	0.4500678508
25	0.4479431902
26	0.4461531912
27	0.4444106278
28	0.4426941493
29	0.4411691413
30	0.4398013478
31	0.4386090439
32	0.4372959258
33	0.436198222
34	0.4350865186
35	0.4339682283
36	0.4329648684
37	0.4321378411
38	0.4312915304
39	0.4304481349
40	0.4296887108
41	0.4289675578
42	0.4282652803
43	0.4275492451
44	0.4268791524
45	0.4262327936
46	0.4256205887
47	0.4250452328
48	0.4245041413
49	0.4239232821
50	0.4234160941
51	0.4229159735
52	0.4224302505
53	0.4219256067
54	0.4214602811
55	0.4210532404
56	0.4206196671
57	0.4202231718
58	0.4198083312
59	0.4193856766
60	0.419000649
61	0.4186200979
62	0.4182747931
63	0.4179160567
64	0.4175710232
65	0.4172416367
66	0.4169121841
67	0.4165537738
68	0.4162580853
69	0.4159529005
70	0.4156297491
71	0.4153232232
72	0.4150090045
73	0.4147343273
74	0.4144339787
75	0.4141275965
76	0.4138726132
77	0.4136280584
78	0.4133705017
79	0.4130687956
80	0.4128017306
81	0.4125517923
82	0.4123365031
83	0.4120822448
84	0.4118281872
85	0.4116055185
86	0.411388852
87	0.411177311
88	0.4109424293
89	0.4107153656
90	0.4105156162
91	0.4102924431
92	0.4100860405
93	0.4099055751
94	0.4097106896
95	0.4095099382
96	0.4093403169
97	0.4091486727
98	0.408937216
99	0.4087382573
100	0.4085675754
101	0.408392669
102	0.4082236472
103	0.408061554
104	0.4078828703
105	0.4077263406
106	0.4075704099
107	0.4074223851
108	0.4072540645
109	0.4071087923
110	0.4069436772
111	0.4067761878
112	0.4066283667
113	0.4064874588
114	0.4063579537
115	0.4062185162
116	0.4060716641
117	0.4059317698
118	0.4057940847
119	0.4056534836
120	0.4055349488
121	0.4054101181
122	0.405310432
123	0.4051974433
124	0.4050685535
125	0.4049458692
126	0.4048396836
127	0.4047333128
128	0.404607144
129	0.4044871456
130	0.4043817775
131	0.4042792998
132	0.4041467043
133	0.4040345579
134	0.4039276455
135	0.4038011711
136	0.4037030469
137	0.4036019259
138	0.4034896723
139	0.4034002229
140	0.4033031487
141	0.4031892819
142	0.4030997942
143	0.4030092349
144	0.4029212313
145	0.402837086
146	0.4027464032
147	0.4026504315
148	0.4025667041
149	0.402482248
150	0.4024088608
151	0.4023252459
152	0.4022415222
153	0.4021618033
154	0.4020810866
155	0.4020017671
156	0.401929876
157	0.4018613261
158	0.4017971916
159	0.4017316763
160	0.4016596133
161	0.4015866386
162	0.4015074629
163	0.4014414548
164	0.4013652341
165	0.4012899781
166	0.4012249551
167	0.4011519209
168	0.4010942643
169	0.4010388025
170	0.4009782964
171	0.4009131454
172	0.4008402432
173	0.4007847945
174	0.4007251063
175	0.4006661048
176	0.4006104702
177	0.4005459407
178	0.4004872254
179	0.4004329866
180	0.4003778962
181	0.4003261868
182	0.4002701931
183	0.4002116452
184	0.4001583757
185	0.4000974535
186	0.4000506376
187	0.3999966027
188	0.3999477442
189	0.3998894569
190	0.3998396599
191	0.3997877859
192	0.3997343871
193	0.3996894649
194	0.3996375814
195	0.3995837661
196	0.399537204
197	0.3994906011
198	0.3994404653
199	0.3993946207
200	0.399351698
201	0.3993122601
202	0.399268948
203	0.3992279127
204	0.3991880795
205	0.3991437582
206	0.3991016649
207	0.3990609887
208	0.3990236035
209	0.3989857204
210	0.3989471996
211	0.3989079872
212	0.3988661969
213	0.3988247915
214	0.3987835697
215	0.398744829
216	0.3987067143
217	0.3986721667
218	0.3986377883
219	0.3985990854
220	0.3985637879
221	0.3985296949
222	0.398499824
223	0.398464047
224	0.3984201281
225	0.3983866243
226	0.3983544336
227	0.398321072
228	0.3982836108
229	0.3982517757
230	0.3982178428
231	0.3981859866
232	0.3981507297
233	0.3981222944
234	0.3980879211
235	0.3980557584
236	0.3980276637
237	0.3979959447
238	0.3979664272
239	0.3979359252
240	0.3979006934
241	0.397870942
242	0.3978429548
243	0.3978180077
244	0.3977900735
245	0.3977632654
246	0.3977363819
247	0.3977096325
248	0.3976811446
249	0.3976561169
250	0.3976269367
251	0.3976016579
252	0.3975725445
253	0.3975496131
254	0.3975211056
255	0.3974950383
256	0.3974702352
257	0.3974416836
258	0.3974169607
259	0.3973912656
260	0.3973689512
