iter	Passed	Remaining
0	231	231742
1	396	197718
2	716	237983
3	958	238559
4	1192	237275
5	1359	225154
6	1523	216158
7	1713	212450
8	1876	206592
9	2041	202112
10	2210	198773
11	2375	195567
12	2539	192828
13	2708	190774
14	2873	188688
15	3036	186742
16	3192	184621
17	3351	182859
18	3509	181189
19	3679	180296
20	3858	179899
21	4021	178751
22	4180	177587
23	4344	176681
24	4546	177312
25	4782	179155
26	5020	180917
27	5220	181214
28	5384	180304
29	5544	179282
30	5728	179075
31	5894	178303
32	6065	177729
33	6224	176841
34	6381	175934
35	6538	175098
36	6708	174590
37	6878	174135
38	7034	173334
39	7193	172653
40	7350	171941
41	7510	171300
42	7670	170707
43	7873	171069
44	8034	170506
45	8198	170020
46	8353	169386
47	8510	168791
48	8676	168388
49	8844	168039
50	9014	167744
51	9175	167273
52	9339	166874
53	9488	166224
54	9655	165899
55	9854	166112
56	10068	166569
57	10225	166081
58	10388	165689
59	10545	165206
60	10700	164712
61	10861	164326
62	11026	164003
63	11179	163501
64	11354	163333
65	11571	163756
66	11733	163396
67	11897	163065
68	12072	162884
69	12228	162459
70	12392	162144
71	12551	161774
72	12711	161414
73	12875	161122
74	13044	160886
75	13211	160627
76	13373	160306
77	13530	159934
78	13683	159528
79	13844	159214
80	14009	158946
81	14168	158617
82	14328	158302
83	14489	158006
84	14647	157680
85	14802	157314
86	14964	157037
87	15117	156676
88	15280	156406
89	15442	156144
90	15599	155827
91	15758	155531
92	15916	155226
93	16073	154925
94	16229	154608
95	16384	154290
96	16539	153968
97	16698	153692
98	16859	153439
99	17019	153175
100	17169	152829
101	17330	152572
102	17481	152243
103	17641	151988
104	17808	151798
105	17963	151503
106	18120	151232
107	18278	150970
108	18436	150704
109	18600	150493
110	18762	150269
111	18922	150026
112	19072	149709
113	19233	149477
114	19384	149178
115	19538	148896
116	19694	148634
117	19859	148439
118	20065	148554
119	20225	148318
120	20382	148066
121	20576	148080
122	20734	147840
123	20956	148048
124	21127	147890
125	21278	147600
126	21431	147322
127	21584	147043
128	21746	146829
129	21898	146554
130	22052	146285
131	22208	146035
132	22366	145800
133	22519	145536
134	22675	145294
135	22831	145046
136	22985	144793
137	23139	144535
138	23294	144293
139	23452	144065
140	23605	143807
141	23763	143582
142	23920	143354
143	24078	143130
144	24239	142926
145	24389	142663
146	24546	142434
147	24719	142301
148	24878	142088
149	25028	141829
150	25188	141624
151	25337	141358
152	25495	141143
153	25646	140890
154	25801	140660
155	25963	140468
156	26112	140206
157	26274	140021
158	26427	139785
159	26589	139592
160	26741	139355
161	26895	139125
162	27058	138943
163	27210	138708
164	27375	138534
165	27531	138320
166	27681	138076
167	27833	137841
168	27985	137607
169	28138	137383
170	28291	137158
171	28449	136955
172	28617	136800
173	28772	136587
174	28926	136365
175	29080	136150
176	29238	135952
177	29399	135766
178	29555	135557
179	29719	135386
180	29884	135223
181	30073	135166
182	30225	134942
183	30378	134722
184	30531	134502
185	30692	134321
186	30856	134150
187	31020	133983
188	31178	133786
189	31340	133610
190	31490	133382
191	31644	133170
192	31804	132985
193	31960	132782
194	32120	132601
195	32275	132393
196	32428	132184
197	32581	131972
198	32742	131792
199	32900	131603
200	33054	131395
201	33207	131185
202	33368	131008
203	33533	130847
204	33685	130632
205	33842	130440
206	33996	130236
207	34149	130031
208	34300	129817
209	34454	129615
210	34606	129406
211	34770	129240
212	34930	129062
213	35082	128854
214	35239	128665
215	35393	128465
216	35551	128278
217	35704	128078
218	35864	127900
219	36021	127713
220	36185	127549
221	36342	127361
222	36501	127180
223	36660	127002
224	36821	126830
225	36979	126646
226	37134	126454
227	37291	126266
228	37444	126067
229	37597	125869
230	37757	125693
231	37919	125526
232	38071	125326
233	38227	125138
234	38388	124965
235	38552	124804
236	38710	124624
237	38869	124448
238	39033	124287
239	39192	124108
240	39348	123921
241	39510	123756
242	39667	123574
243	39836	123428
244	40042	123396
245	40201	123217
246	40358	123036
247	40504	122821
248	40665	122648
249	40822	122468
250	40983	122297
251	41144	122127
252	41305	121956
253	41462	121776
254	41620	121596
255	41773	121405
256	41934	121235
257	42097	121071
258	42247	120871
259	42404	120689
260	42558	120501
261	42718	120330
262	42875	120150
263	43037	119984
264	43192	119797
265	43351	119623
266	43500	119422
267	43661	119253
268	43820	119080
269	43973	118891
270	44129	118709
271	44282	118519
272	44439	118342
273	44590	118147
274	44759	118001
275	44921	117837
276	45081	117667
277	45243	117502
278	45403	117333
279	45557	117147
280	45709	116958
281	45866	116781
282	46022	116600
283	46190	116452
284	46345	116270
285	46502	116093
286	46655	115908
287	46810	115724
288	46964	115543
289	47124	115374
290	47282	115200
291	47441	115028
292	47601	114859
293	47757	114683
294	47918	114516
295	48072	114335
296	48233	114169
297	48390	113994
298	48560	113848
299	48729	113703
300	48892	113540
301	49063	113399
302	49220	113222
303	49374	113041
304	49530	112864
305	49682	112679
306	49849	112527
307	50037	112421
